,degree,betweenness,eigenvector,closeness,pagerank
21721,0.00012572290671360322,2.1845383193701815e-05,0.00036052209764023433,0.2831637875025588,3.34789529086668e-05
21726,6.286145335680161e-05,0.0,0.00017071055645992447,0.2690980445226335,1.952287263722609e-05
21751,3.1430726678400805e-05,0.0,7.401748780014487e-05,0.2575964893815126,1.1432157392816938e-05
21961,6.286145335680161e-05,0.0,0.00017071055645992447,0.2690980445226335,1.952287263722609e-05
21967,9.429218003520242e-05,0.0,0.00026382902898045474,0.27357776707711357,2.5388237664257657e-05
21985,6.286145335680161e-05,0.0,0.00017071055645992447,0.2690980445226335,1.952287263722609e-05
21987,6.286145335680161e-05,0.0,0.00017071055645992447,0.2690980445226335,1.952287263722609e-05
22007,3.1430726678400805e-05,0.0,7.401748780014487e-05,0.2575964893815126,1.1432157392816938e-05
22031,0.00012572290671360322,1.867579980016434e-05,0.0003616464324477683,0.28141059093039916,3.3207470479182254e-05
22053,3.1430726678400805e-05,0.0,7.401748780014487e-05,0.2575964893815126,1.1432157392816938e-05
22162,9.429218003520242e-05,3.527889790712303e-05,0.00031799667558571944,0.2894337047987264,2.68409274492121e-05
22319,9.429218003520242e-05,2.9082756751990533e-05,0.0002680415437562345,0.27871121467491283,2.420219117012581e-05
22321,3.1430726678400805e-05,0.0,7.401748780014487e-05,0.2575964893815126,1.1432157392816938e-05
22322,3.1430726678400805e-05,0.0,7.401748780014487e-05,0.2575964893815126,1.1432157392816938e-05
22323,3.1430726678400805e-05,0.0,7.401748780014487e-05,0.2575964893815126,1.1432157392816938e-05
22325,3.1430726678400805e-05,0.0,7.401748780014487e-05,0.2575964893815126,1.1432157392816938e-05
22326,6.286145335680161e-05,0.0,0.00017071055645992447,0.2690980445226335,1.952287263722609e-05
22536,3.1430726678400805e-05,0.0,7.401748780014487e-05,0.2575964893815126,1.1432157392816938e-05
22539,6.286145335680161e-05,1.5298928810402773e-06,0.0003010561055697465,0.27866971472615637,1.7013788575039426e-05
22568,3.1430726678400805e-05,0.0,7.401748780014487e-05,0.2575964893815126,1.1432157392816938e-05
23059,9.429218003520242e-05,0.0,0.00026382902898045474,0.27357776707711357,2.5388237664257657e-05
23060,9.429218003520242e-05,0.0,0.00026382902898045474,0.27357776707711357,2.5388237664257657e-05
23065,6.286145335680161e-05,0.0,0.00017071055645992447,0.2690980445226335,1.952287263722609e-05
23088,3.1430726678400805e-05,0.0,7.401748780014487e-05,0.2575964893815126,1.1432157392816938e-05
23089,3.1430726678400805e-05,0.0,7.401748780014487e-05,0.2575964893815126,1.1432157392816938e-05
23096,9.429218003520242e-05,1.6826473096770948e-05,0.0003738578098488789,0.27624530054787144,2.3229320974089976e-05
23111,3.1430726678400805e-05,0.0,7.401748780014487e-05,0.2575964893815126,1.1432157392816938e-05
23112,6.286145335680161e-05,0.0,0.00017071055645992447,0.2690980445226335,1.952287263722609e-05
23116,6.286145335680161e-05,1.5298928810402773e-06,0.0003010561055697465,0.27866971472615637,1.7013788575039426e-05
23130,6.286145335680161e-05,0.0,0.00017071055645992447,0.2690980445226335,1.952287263722609e-05
23346,6.286145335680161e-05,0.0,0.00017071055645992447,0.2690980445226335,1.952287263722609e-05
23347,9.429218003520242e-05,0.0,0.00026382902898045474,0.27357776707711357,2.5388237664257657e-05
23353,3.1430726678400805e-05,0.0,7.401748780014487e-05,0.2575964893815126,1.1432157392816938e-05
23494,6.286145335680161e-05,0.0,0.00017071055645992447,0.2690980445226335,1.952287263722609e-05
23595,6.286145335680161e-05,0.0,0.00017071055645992447,0.2690980445226335,1.952287263722609e-05
23952,6.286145335680161e-05,0.0,0.00017071055645992447,0.2690980445226335,1.952287263722609e-05
24035,6.286145335680161e-05,0.0,0.00017071055645992447,0.2690980445226335,1.952287263722609e-05
24095,3.1430726678400805e-05,0.0,7.401748780014487e-05,0.2575964893815126,1.1432157392816938e-05
24097,3.1430726678400805e-05,0.0,7.401748780014487e-05,0.2575964893815126,1.1432157392816938e-05
24098,3.1430726678400805e-05,0.0,7.401748780014487e-05,0.2575964893815126,1.1432157392816938e-05
24199,3.1430726678400805e-05,0.0,7.401748780014487e-05,0.2575964893815126,1.1432157392816938e-05
24419,3.1430726678400805e-05,0.0,7.401748780014487e-05,0.2575964893815126,1.1432157392816938e-05
26976,3.1430726678400805e-05,0.0,7.401748780014487e-05,0.2575964893815126,1.1432157392816938e-05
26981,3.1430726678400805e-05,0.0,7.401748780014487e-05,0.2575964893815126,1.1432157392816938e-05
24687,3.1430726678400805e-05,0.0,7.401748780014487e-05,0.2575964893815126,1.1432157392816938e-05
24956,6.286145335680161e-05,0.0,0.00017071055645992447,0.2690980445226335,1.952287263722609e-05
25001,6.286145335680161e-05,0.0,0.00017071055645992447,0.2690980445226335,1.952287263722609e-05
25144,6.286145335680161e-05,0.0,0.00017071055645992447,0.2690980445226335,1.952287263722609e-05
25158,6.286145335680161e-05,0.0,0.00017071055645992447,0.2690980445226335,1.952287263722609e-05
25159,6.286145335680161e-05,0.0,0.00017071055645992447,0.2690980445226335,1.952287263722609e-05
25162,9.429218003520242e-05,0.0,0.00026382902898045474,0.27357776707711357,2.5388237664257657e-05
25237,6.286145335680161e-05,0.0,0.00017071055645992447,0.2690980445226335,1.952287263722609e-05
25312,6.286145335680161e-05,0.0,0.00013914944046036738,0.26119795087350584,1.8245602387775413e-05
25334,0.00018858436007040483,0.00023054309151067124,0.00217614521742203,0.3339771582129661,4.7300420784649655e-05
25559,6.286145335680161e-05,0.0,0.00017071055645992447,0.2690980445226335,1.952287263722609e-05
25661,0.0003143072667840081,0.0005139007633976106,0.0033775966239979736,0.35011114290115986,6.88940208414474e-05
25729,3.1430726678400805e-05,0.0,7.401748780014487e-05,0.2575964893815126,1.1432157392816938e-05
25730,0.00012572290671360322,5.085717857270578e-05,0.0004426762641058068,0.2932999004388067,3.398356272569434e-05
25732,9.429218003520242e-05,3.527889790712303e-05,0.00031799667558571944,0.2894337047987264,2.68409274492121e-05
25784,6.286145335680161e-05,0.0,0.00017071055645992447,0.2690980445226335,1.952287263722609e-05
26028,6.286145335680161e-05,0.0,0.00017071055645992447,0.2690980445226335,1.952287263722609e-05
26082,6.286145335680161e-05,0.0,0.00017071055645992447,0.2690980445226335,1.952287263722609e-05
26083,3.1430726678400805e-05,0.0,7.401748780014487e-05,0.2575964893815126,1.1432157392816938e-05
26169,3.1430726678400805e-05,0.0,7.401748780014487e-05,0.2575964893815126,1.1432157392816938e-05
26182,9.429218003520242e-05,3.4235161189256263e-06,0.000268527959927238,0.27946278777657735,2.7342105452150687e-05
26245,6.286145335680161e-05,0.0,0.00017071055645992447,0.2690980445226335,1.952287263722609e-05
26283,9.429218003520242e-05,0.0,0.00026382902898045474,0.27357776707711357,2.5388237664257657e-05
26288,3.1430726678400805e-05,0.0,7.401748780014487e-05,0.2575964893815126,1.1432157392816938e-05
26285,3.1430726678400805e-05,0.0,7.401748780014487e-05,0.2575964893815126,1.1432157392816938e-05
26304,3.1430726678400805e-05,0.0,7.401748780014487e-05,0.2575964893815126,1.1432157392816938e-05
26305,3.1430726678400805e-05,0.0,7.401748780014487e-05,0.2575964893815126,1.1432157392816938e-05
26309,9.429218003520242e-05,0.0,0.00026382902898045474,0.27357776707711357,2.5388237664257657e-05
26325,6.286145335680161e-05,0.0,0.00013914944046036738,0.26119795087350584,1.8245602387775413e-05
26590,6.286145335680161e-05,0.0,0.00017071055645992447,0.2690980445226335,1.952287263722609e-05
26674,6.286145335680161e-05,0.0,0.00017071055645992447,0.2690980445226335,1.952287263722609e-05
26712,3.1430726678400805e-05,0.0,7.401748780014487e-05,0.2575964893815126,1.1432157392816938e-05
26713,6.286145335680161e-05,0.0,0.00017071055645992447,0.2690980445226335,1.952287263722609e-05
26786,0.00012572290671360322,1.860048629557744e-05,0.001095513992683331,0.3008320726172466,3.0433649803149268e-05
26850,6.286145335680161e-05,0.0,0.00019869707632023226,0.2707859908932295,1.857479266929918e-05
26969,3.1430726678400805e-05,0.0,7.401748780014487e-05,0.2575964893815126,1.1432157392816938e-05
27113,9.429218003520242e-05,7.866629084208378e-06,0.0004483422246955415,0.294707200948517,2.4331843387025438e-05
27154,9.429218003520242e-05,0.0,0.00026382902898045474,0.27357776707711357,2.5388237664257657e-05
27172,3.1430726678400805e-05,0.0,7.401748780014487e-05,0.2575964893815126,1.1432157392816938e-05
27173,6.286145335680161e-05,6.33673620316826e-06,0.00022130360692593985,0.2796470133248954,1.8750212204802946e-05
27174,6.286145335680161e-05,0.0,0.00017071055645992447,0.2690980445226335,1.952287263722609e-05
27212,9.429218003520242e-05,3.527889790712303e-05,0.00031799667558571944,0.2894337047987264,2.68409274492121e-05
27266,0.00015715363339200404,1.9227396310028767e-05,0.0007515546244795968,0.2979360976888789,3.848541876746653e-05
27269,9.429218003520242e-05,0.0,0.00026382902898045474,0.27357776707711357,2.5388237664257657e-05
27334,6.286145335680161e-05,0.0,0.00017071055645992447,0.2690980445226335,1.952287263722609e-05
27381,6.286145335680161e-05,0.0,0.00017071055645992447,0.2690980445226335,1.952287263722609e-05
27448,6.286145335680161e-05,0.0,0.00019869707632023226,0.2707859908932295,1.857479266929918e-05
27506,0.00012572290671360322,2.85064596912308e-05,0.0018396418294113594,0.31642598559891794,2.8941808408435e-05
27511,0.00012572290671360322,1.867579980016434e-05,0.0003616464324477683,0.28141059093039916,3.3207470479182254e-05
27512,6.286145335680161e-05,0.0,0.00017071055645992447,0.2690980445226335,1.952287263722609e-05
27757,9.429218003520242e-05,0.0,0.00026382902898045474,0.27357776707711357,2.5388237664257657e-05
27775,6.286145335680161e-05,0.0,0.00017071055645992447,0.2690980445226335,1.952287263722609e-05
27822,9.429218003520242e-05,0.0,0.00026382902898045474,0.27357776707711357,2.5388237664257657e-05
27823,3.1430726678400805e-05,0.0,7.401748780014487e-05,0.2575964893815126,1.1432157392816938e-05
28443,6.286145335680161e-05,0.0,0.00017071055645992447,0.2690980445226335,1.952287263722609e-05
28940,0.00012572290671360322,1.1501519664454133e-05,0.0004111151481062497,0.2856911956180128,3.270629247624366e-05
29113,6.286145335680161e-05,0.0,0.00017071055645992447,0.2690980445226335,1.952287263722609e-05
29141,6.286145335680161e-05,0.0,0.00019869707632023226,0.2707859908932295,1.857479266929918e-05
29142,6.286145335680161e-05,0.0,0.00017071055645992447,0.2690980445226335,1.952287263722609e-05
29143,6.286145335680161e-05,0.0,0.00017071055645992447,0.2690980445226335,1.952287263722609e-05
29144,9.429218003520242e-05,0.0,0.00026382902898045474,0.27357776707711357,2.5388237664257657e-05
29145,9.429218003520242e-05,0.0,0.00026382902898045474,0.27357776707711357,2.5388237664257657e-05
29382,6.286145335680161e-05,0.0,0.00017071055645992447,0.2690980445226335,1.952287263722609e-05
29414,3.1430726678400805e-05,0.0,7.401748780014487e-05,0.2575964893815126,1.1432157392816938e-05
29419,6.286145335680161e-05,0.0,0.00017071055645992447,0.2690980445226335,1.952287263722609e-05
29464,9.429218003520242e-05,0.0,0.00026382902898045474,0.27357776707711357,2.5388237664257657e-05
